date,home,away,home_score,away_score,key_events,source,collected_at,stage,note
2026-06-11,墨西哥,南非,2,0,,espn_20260611,2026-07-12 18:05:16,,
2026-06-11,韩国,捷克,2,1,,espn_20260611,2026-07-12 18:05:16,,
2026-06-12,加拿大,波黑,1,1,,espn_20260612,2026-07-12 18:05:16,,
2026-06-12,美国,巴拉圭,4,1,,espn_20260612,2026-07-12 18:05:16,,
2026-06-13,卡塔尔,瑞士,1,1,,espn_20260613,2026-07-12 18:05:17,,
2026-06-13,巴西,摩洛哥,1,1,,espn_20260613,2026-07-12 18:05:17,,
2026-06-13,海地,苏格兰,0,1,,espn_20260613,2026-07-12 18:05:17,,
2026-06-14,德国,库拉索,7,1,,espn_20260614,2026-07-12 18:05:18,,
2026-06-14,澳大利亚,土耳其,2,0,,espn_20260614,2026-07-12 18:05:18,,
2026-06-14,瑞典,突尼斯,5,1,,espn_20260614,2026-07-12 18:05:18,,
2026-06-14,科特迪瓦,厄瓜多尔,1,0,,espn_20260614,2026-07-12 18:05:18,,
2026-06-14,荷兰,日本,2,2,,espn_20260614,2026-07-12 18:05:18,,
2026-06-15,伊朗,新西兰,2,2,,espn_20260615,2026-07-12 18:05:20,,
2026-06-15,比利时,埃及,1,1,,espn_20260615,2026-07-12 18:05:20,,
2026-06-15,沙特,乌拉圭,1,1,,espn_20260615,2026-07-12 18:05:20,,
2026-06-15,西班牙,佛得角,0,0,,espn_20260615,2026-07-12 18:05:20,,
2026-06-16,伊拉克,挪威,1,4,,espn_20260616,2026-07-12 18:05:21,,
2026-06-16,法国,塞内加尔,3,1,,espn_20260616,2026-07-12 18:05:21,,
2026-06-16,阿根廷,阿尔及利亚,3,0,,espn_20260616,2026-07-12 18:05:21,,
2026-06-17,乌兹别克斯坦,哥伦比亚,1,3,,espn_20260617,2026-07-12 18:05:23,,
2026-06-17,加纳,巴拿马,1,0,,espn_20260617,2026-07-12 18:05:23,,
2026-06-17,奥地利,约旦,3,1,,espn_20260617,2026-07-12 18:05:23,,
2026-06-17,英格兰,克罗地亚,4,2,,espn_20260617,2026-07-12 18:05:23,,
2026-06-17,葡萄牙,民主刚果,1,1,,espn_20260617,2026-07-12 18:05:23,,
2026-06-18,加拿大,卡塔尔,6,0,,espn_20260618,2026-07-12 18:05:24,,
2026-06-18,墨西哥,韩国,1,0,,espn_20260618,2026-07-12 18:05:24,,
2026-06-18,捷克,南非,1,1,,espn_20260618,2026-07-12 18:05:24,,
2026-06-18,瑞士,波黑,4,1,,espn_20260618,2026-07-12 18:05:24,,
2026-06-19,土耳其,巴拉圭,0,1,,espn_20260619,2026-07-12 18:05:25,,
2026-06-19,巴西,海地,3,0,,espn_20260619,2026-07-12 18:05:25,,
2026-06-19,美国,澳大利亚,2,0,,espn_20260619,2026-07-12 18:05:25,,
2026-06-19,苏格兰,摩洛哥,0,1,,espn_20260619,2026-07-12 18:05:25,,
2026-06-20,厄瓜多尔,库拉索,0,0,,espn_20260620,2026-07-12 18:05:26,,
2026-06-20,德国,科特迪瓦,2,1,,espn_20260620,2026-07-12 18:05:26,,
2026-06-20,荷兰,瑞典,5,1,,espn_20260620,2026-07-12 18:05:26,,
2026-06-21,乌拉圭,佛得角,2,2,,espn_20260621,2026-07-12 18:05:27,,
2026-06-21,新西兰,埃及,1,3,,espn_20260621,2026-07-12 18:05:27,,
2026-06-21,比利时,伊朗,0,0,,espn_20260621,2026-07-12 18:05:27,,
2026-06-21,突尼斯,日本,0,4,,espn_20260621,2026-07-12 18:05:27,,
2026-06-21,西班牙,沙特,4,0,,espn_20260621,2026-07-12 18:05:27,,
2026-06-22,挪威,塞内加尔,3,2,,espn_20260622,2026-07-12 18:05:28,,
2026-06-22,法国,伊拉克,3,0,,espn_20260622,2026-07-12 18:05:28,,
2026-06-22,约旦,阿尔及利亚,1,2,,espn_20260622,2026-07-12 18:05:28,,
2026-06-22,阿根廷,奥地利,2,0,,espn_20260622,2026-07-12 18:05:28,,
2026-06-23,哥伦比亚,民主刚果,1,0,,espn_20260623,2026-07-12 18:05:29,,
2026-06-23,巴拿马,克罗地亚,0,1,,espn_20260623,2026-07-12 18:05:29,,
2026-06-23,英格兰,加纳,0,0,,espn_20260623,2026-07-12 18:05:29,,
2026-06-23,葡萄牙,乌兹别克斯坦,5,0,,espn_20260623,2026-07-12 18:05:29,,
2026-06-24,南非,韩国,1,0,,espn_20260624,2026-07-12 18:05:30,,
2026-06-24,捷克,墨西哥,0,3,,espn_20260624,2026-07-12 18:05:30,,
2026-06-24,摩洛哥,海地,4,2,,espn_20260624,2026-07-12 18:05:30,,
2026-06-24,波黑,卡塔尔,3,1,,espn_20260624,2026-07-12 18:05:30,,
2026-06-24,瑞士,加拿大,2,1,,espn_20260624,2026-07-12 18:05:30,,
2026-06-24,苏格兰,巴西,0,3,,espn_20260624,2026-07-12 18:05:30,,
2026-06-25,南非,韩国,1,0,,espn_20260625_et_fix,,,
2026-06-25,厄瓜多尔,德国,2,1,,espn_20260625,2026-07-12 18:05:31,,
2026-06-25,土耳其,美国,3,2,,espn_20260625,2026-07-12 18:05:31,,
2026-06-25,巴拉圭,澳大利亚,0,0,,espn_20260625,2026-07-12 18:05:31,,
2026-06-25,库拉索,科特迪瓦,0,2,,espn_20260625,2026-07-12 18:05:31,,
2026-06-25,捷克,墨西哥,0,3,,espn_20260625_et_fix,,,
2026-06-25,摩洛哥,海地,4,2,,espn_20260625_et_fix,,,
2026-06-25,日本,瑞典,1,1,,espn_20260625,2026-07-12 18:05:31,,
2026-06-25,波黑,卡塔尔,3,1,,espn_20260625_et_fix,,,
2026-06-25,瑞士,加拿大,2,1,,espn_20260625_et_fix,,,
2026-06-25,突尼斯,荷兰,1,3,,espn_20260625,2026-07-12 18:05:31,,
2026-06-25,苏格兰,巴西,0,3,,espn_20260625_et_fix,,,
2026-06-26,乌拉圭,西班牙,0,1,,espn_20260626,2026-07-12 18:05:32,,
2026-06-26,佛得角,沙特,0,0,,espn_20260626,2026-07-12 18:05:32,,
2026-06-26,厄瓜多尔,德国,2,1,,espn_20260626_et_fix,,,
2026-06-26,土耳其,美国,3,2,,espn_20260626_et_fix,,,
2026-06-26,埃及,伊朗,1,1,,espn_20260626,2026-07-12 18:05:32,,
2026-06-26,塞内加尔,伊拉克,5,0,,espn_20260626,2026-07-12 18:05:32,,
2026-06-26,巴拉圭,澳大利亚,0,0,,espn_20260626_et_fix,,,
2026-06-26,库拉索,科特迪瓦,0,2,,espn_20260626_et_fix,,,
2026-06-26,挪威,法国,1,4,,espn_20260626,2026-07-12 18:05:32,,
2026-06-26,新西兰,比利时,1,5,,espn_20260626,2026-07-12 18:05:32,,
2026-06-26,日本,瑞典,1,1,,espn_20260626_et_fix,,,
2026-06-26,突尼斯,荷兰,1,3,,espn_20260626_et_fix,,,
2026-06-27,乌拉圭,西班牙,0,1,,espn_20260627,,,
2026-06-27,佛得角,沙特,0,0,,espn_20260627,,,
2026-06-27,克罗地亚,加纳,2,1,,espn_20260627,2026-07-12 18:05:34,,
2026-06-27,哥伦比亚,葡萄牙,0,0,,espn_20260627,2026-07-12 18:05:34,,
2026-06-27,埃及,伊朗,1,1,,espn_20260627,,,
2026-06-27,巴拿马,英格兰,0,2,,espn_20260627,2026-07-12 18:05:34,,
2026-06-27,新西兰,比利时,1,5,,espn_20260627,,,
2026-06-27,民主刚果,乌兹别克斯坦,3,1,,espn_20260627,2026-07-12 18:05:34,,
2026-06-27,约旦,阿根廷,1,3,,espn_20260627,2026-07-12 18:05:34,,
2026-06-27,阿尔及利亚,奥地利,3,3,,espn_20260627,2026-07-12 18:05:34,,
2026-06-28,克罗地亚,加纳,2,1,,espn_summary,,,
2026-06-28,南非,加拿大,0,1,,espn_20260628,2026-07-12 18:05:35,,
2026-06-28,哥伦比亚,葡萄牙,0,0,,espn_summary,,,
2026-06-28,巴拿马,英格兰,0,2,,espn_summary,,,
2026-06-28,民主刚果,乌兹别克斯坦,3,1,,espn_summary,,,
2026-06-28,约旦,阿根廷,1,3,,espn_summary,,,
2026-06-28,阿尔及利亚,奥地利,3,3,,espn_summary,,,
2026-06-29,巴西,日本,2,1,,espn_20260629,2026-07-12 18:05:36,,
2026-06-29,德国,巴拉圭,1,1,,espn_20260629,2026-07-12 18:05:36,,
2026-06-29,荷兰,摩洛哥,1,1,,espn_20260629,2026-07-12 18:05:36,,
2026-06-30,墨西哥,厄瓜多尔,2,0,,espn_20260630,2026-07-12 18:05:37,,
2026-06-30,法国,瑞典,3,0,,espn_20260630,2026-07-12 18:05:37,,
2026-06-30,科特迪瓦,挪威,1,2,,espn_20260630,2026-07-12 18:05:37,,
2026-07-01,比利时,塞内加尔,3,2,,espn_20260701,2026-07-12 18:05:38,,
2026-07-01,美国,波黑,2,0,,espn_20260701,2026-07-12 18:05:38,,
2026-07-01,英格兰,民主刚果,2,1,,espn_20260701,2026-07-12 18:05:38,,
2026-07-02,瑞士,阿尔及利亚,2,0,,espn_20260702,2026-07-12 18:05:39,,
2026-07-02,葡萄牙,克罗地亚,2,1,,espn_20260702,2026-07-12 18:05:39,,
2026-07-02,西班牙,奥地利,3,0,,espn_20260702,2026-07-12 18:05:39,,
2026-07-03,哥伦比亚,加纳,1,0,,espn_20260703,2026-07-12 18:05:40,,
2026-07-03,澳大利亚,埃及,1,1,,espn_20260703,2026-07-12 18:05:40,,
2026-07-03,阿根廷,佛得角,3,2,,espn_20260703,2026-07-12 18:05:40,,
2026-07-04,加拿大,摩洛哥,0,3,,espn_20260704,2026-07-12 18:05:41,,
2026-07-04,哥伦比亚,加纳,1,0,,ESPN API,,,
2026-07-04,巴拉圭,法国,0,1,,espn_20260704,2026-07-12 18:05:41,,
2026-07-04,澳大利亚,埃及,1,1,,ESPN API,,,
2026-07-04,阿根廷,佛得角,3,2,,ESPN API,,,
2026-07-05,墨西哥,英格兰,2,3,,espn_20260705,2026-07-12 18:05:42,,
2026-07-05,巴西,挪威,1,2,,espn_20260705,2026-07-12 18:05:42,,
2026-07-06,美国,比利时,1,4,,espn_20260706,2026-07-12 18:05:44,,
2026-07-06,葡萄牙,西班牙,0,1,,espn_20260706,2026-07-12 18:05:44,,
2026-07-07,瑞士,哥伦比亚,0,0,,espn_20260707,2026-07-12 18:05:45,,
2026-07-07,美国,比利时,1,4,,manual_ko_update_2026-07-10,,R16,
2026-07-07,葡萄牙,西班牙,0,0,,manual_ko_update_2026-07-10,,R16,"点球, 西班牙晋级"
2026-07-07,阿根廷,埃及,3,2,,espn_20260707,2026-07-12 18:05:45,,
2026-07-08,瑞士,哥伦比亚,0,0,,manual_ko_update_2026-07-10,,R16,"点球, 瑞士晋级"
2026-07-08,阿根廷,埃及,3,2,,manual_ko_update_2026-07-10,,R16,
2026-07-09,法国,摩洛哥,2,0,,espn_20260709,2026-07-12 18:05:47,,
2026-07-10,法国,摩洛哥,2,0,,manual_ko_update_2026-07-10,,QF,
2026-07-10,西班牙,比利时,2,1,,espn_20260710,2026-07-12 18:05:49,,
2026-07-11,挪威,英格兰,1,2,,espn_20260711,2026-07-12 18:05:51,,
2026-07-11,阿根廷,瑞士,3,1,,espn_20260711,2026-07-12 18:05:51,,
