match_id,espn_event_id,date,home_team_cn,away_team_cn,home_team_en,away_team_en,home_score,away_score,home_winner,away_winner,venue,status,source,home_possession_pct,away_possession_pct,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_shot_pct,away_shot_pct,home_corners,away_corners,home_penalty_goals,away_penalty_goals,home_penalty_kicks,away_penalty_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_offsides,away_offsides,home_saves,away_saves,home_passes_total,away_passes_total,home_passes_accurate,away_passes_accurate,home_pass_pct,away_pass_pct,home_tackles_total,away_tackles_total,home_tackles_effective,away_tackles_effective,home_interceptions,away_interceptions,home_clearances,away_clearances
2026-06-21_突尼斯_vs_日本,760449,2026-06-21,突尼斯,日本,Tunisia,Japan,0,4,False,True,Estadio BBVA,Full Time,ESPN,37.9,62.1,2,11,0,5,0.0,0.5,3,5,0,0,0,0,8,15,0,0,0,0,1,1,1,0,354,583,284,521,0.8,0.9,18,18,16,12,14,7,23,25
2026-06-21_乌拉圭_vs_佛得角,760450,2026-06-21,乌拉圭,佛得角,Uruguay,Cape Verde,2,2,False,False,Hard Rock Stadium,Full Time,ESPN,65.2,34.8,17,12,2,4,0.1,0.3,11,4,0,0,0,0,11,4,2,2,0,0,3,0,2,0,511,278,420,205,0.8,0.7,16,16,8,15,7,13,11,48
2026-06-21_比利时_vs_伊朗,760451,2026-06-21,比利时,伊朗,Belgium,Iran,0,0,False,False,SoFi Stadium,Full Time,ESPN,70.1,29.9,23,7,7,3,0.3,0.4,4,2,0,0,0,0,7,9,1,1,1,0,3,4,3,7,621,270,533,198,0.9,0.7,12,19,7,11,3,12,11,51
2026-06-22_新西兰_vs_埃及,760452,2026-06-22,新西兰,埃及,New Zealand,Egypt,1,3,False,True,BC Place,Full Time,ESPN,44.4,55.6,11,19,5,7,0.5,0.4,4,4,0,0,0,0,14,8,2,1,0,0,3,0,4,4,421,526,337,460,0.8,0.9,12,16,6,13,4,6,22,37
2026-06-21_西班牙_vs_沙特,760453,2026-06-21,西班牙,沙特,Spain,Saudi Arabia,4,0,True,False,Mercedes-Benz Stadium,Full Time,ESPN,67.1,32.9,22,3,8,1,0.4,0.3,6,1,0,0,0,0,10,2,0,2,0,0,2,3,1,5,726,364,668,294,0.9,0.8,10,15,8,12,13,13,17,35
2026-06-23_挪威_vs_塞内加尔,760454,2026-06-23,挪威,塞内加尔,Norway,Senegal,3,2,True,False,MetLife Stadium,Full Time,ESPN,41.7,58.3,13,16,7,4,0.5,0.3,5,4,0,0,0,0,13,5,0,0,0,0,0,4,2,3,353,489,282,430,0.8,0.9,10,16,9,7,8,10,26,18
2026-06-23_约旦_vs_阿尔及利亚,760455,2026-06-23,约旦,阿尔及利亚,Jordan,Algeria,1,2,False,True,Levi's Stadium,Full Time,ESPN,27.9,72.1,8,17,4,8,0.5,0.5,1,10,0,0,0,0,11,6,1,1,0,0,1,0,6,3,251,641,181,561,0.7,0.9,30,25,17,18,3,11,36,15
2026-06-22_阿根廷_vs_奥地利,760456,2026-06-22,阿根廷,奥地利,Argentina,Austria,2,0,True,False,AT&T Stadium,Full Time,ESPN,53.6,46.4,12,6,5,1,0.4,0.2,1,3,0,0,1,0,13,13,2,2,0,0,2,0,1,2,554,468,494,401,0.9,0.9,21,12,11,7,8,9,35,15
2026-06-22_法国_vs_伊拉克,760457,2026-06-22,法国,伊拉克,France,Iraq,3,0,True,False,Lincoln Financial Field,Full Time,ESPN,55.6,44.4,19,4,5,0,0.3,0.0,4,2,0,0,0,0,8,4,0,1,0,0,1,0,0,2,603,481,540,413,0.9,0.9,14,16,9,8,5,10,9,28
2026-06-23_英格兰_vs_加纳,760458,2026-06-23,英格兰,加纳,England,Ghana,0,0,False,False,Gillette Stadium,Full Time,ESPN,78.9,21.1,19,2,3,1,0.2,0.5,9,2,0,0,0,0,14,24,1,1,0,0,2,2,0,3,633,172,586,127,0.9,0.7,14,22,7,17,1,8,6,39
