player_en,player_cn,team_cn,matches_played,positions_seen,jerseys_seen,birth_date,age,source
Abbosbek Fayzullaev,,乌兹别克斯坦,2,CF-L,,,,FBref+ESPN
Abbosbek Fayzullayev,,乌兹别克斯坦,2,"LM,RM",22,,,FBref+ESPN
Abdukodir Khusanov,,乌兹别克斯坦,3,"CB,CD-R",2,,,FBref+ESPN
Abdulla Abdullaev,,乌兹别克斯坦,3,"CB,CD",18,,,FBref+ESPN
Abduvohid Nematov,,乌兹别克斯坦,2,"G,GK",12,,,FBref+ESPN
Akmal Mozgovoy,,乌兹别克斯坦,3,"CM,MF,SUB",6,,,FBref+ESPN
Avazbek Ulmasaliyev,,乌兹别克斯坦,2,SUB,,,,FBref+ESPN
Aziz Gʻaniyev,,乌兹别克斯坦,1,RM,19,,,FBref+ESPN
Azizbek Amonov,,乌兹别克斯坦,3,"FW,SUB",20,,,FBref+ESPN
Azizjon Ganiev,,乌兹别克斯坦,2,CF-R,,,,FBref+ESPN
Behruzjon Karimov,,乌兹别克斯坦,2,RM,,,,FBref+ESPN
Bekhruz Karimov,,乌兹别克斯坦,2,RB,24,,,FBref+ESPN
Botirali Ergashev,,乌兹别克斯坦,2,SUB,,,,FBref+ESPN
Dostonbek Khamdamov,,乌兹别克斯坦,3,"MF,SUB",17,,,FBref+ESPN
Eldor Shomurodov,,乌兹别克斯坦,3,"F,FW",14,,,FBref+ESPN
Farrukh Sayfiev,,乌兹别克斯坦,3,"DF,MF,SUB",4,,,FBref+ESPN
Igor Sergeev,,乌兹别克斯坦,3,"FW,SUB",21,,,FBref+ESPN
Jakhongir Urozov,,乌兹别克斯坦,3,"DF,SUB",26,,,FBref+ESPN
Jamshid Iskanderov,,乌兹别克斯坦,2,SUB,,,,FBref+ESPN
Khojiakbar Alijonov,,乌兹别克斯坦,2,"DF,SUB",3,,,FBref+ESPN
Odiljon Hamrobekov,,乌兹别克斯坦,1,CM,9,,,FBref+ESPN
Odiljon Xamrobekov,,乌兹别克斯坦,2,CM-R,,,,FBref+ESPN
Oston Urunov,,乌兹别克斯坦,3,"LM,SUB",11,,,FBref+ESPN
Otabek Shukurov,,乌兹别克斯坦,3,"CM,CM-L",7,,,FBref+ESPN
Ruslanbek Jiyanov,,乌兹别克斯坦,2,"FW,SUB",10,,,FBref+ESPN
Rustam Ashurmatov,,乌兹别克斯坦,3,"CB,CD-L",5,,,FBref+ESPN
Sherzod Esanov,,乌兹别克斯坦,2,"MF,SUB",23,,,FBref+ESPN
Sherzod Nasrullaev,,乌兹别克斯坦,3,"LB,LM",13,,,FBref+ESPN
Umar Eshmurodov,,乌兹别克斯坦,2,SUB,,,,FBref+ESPN
Utkir Yusupov,,乌兹别克斯坦,3,"GK,SUB",1,,,FBref+ESPN
Agustín Canobbio,,乌拉圭,2,"FW,FW,MF,RM",14,,,FBref+ESPN
Brian Rodríguez,,乌拉圭,2,"FW,MF,SUB",18,,,FBref+ESPN
Darwin Núñez,,乌拉圭,2,"FW,SUB",9,,,FBref+ESPN
Emiliano Martínez,,乌拉圭,2,SUB,,,,FBref+ESPN
Facundo Pellistri,,乌拉圭,2,SUB,,,,FBref+ESPN
Federico Valverde,,乌拉圭,2,"CM,CM-L,RW",8,,,FBref+ESPN
Federico Viñas,,乌拉圭,2,"F,FW",21,,,FBref+ESPN
Fernando Muslera,,乌拉圭,2,"G,GK",23,,,FBref+ESPN
Guillermo Varela,,乌拉圭,2,RB,13,,,FBref+ESPN
Joaquín Piquerez,,乌拉圭,2,SUB,,,,FBref+ESPN
José María Giménez,,乌拉圭,2,SUB,,,,FBref+ESPN
Juan Manuel Sanabria,,乌拉圭,2,"DF,MF,LB",25,,,FBref+ESPN
Manuel Ugarte,,乌拉圭,2,"CM,DM",5,,,FBref+ESPN
Mathías Olivera,,乌拉圭,2,"CB,CD-L",16,,,FBref+ESPN
Matías Viña,,乌拉圭,2,"LB,SUB",17,,,FBref+ESPN
Maxi Araújo,,乌拉圭,2,"FW,LM,LW",20,,,FBref+ESPN
Nicolás De La Cruz,,乌拉圭,2,MF,7,,,FBref+ESPN
Nicolás de la Cruz,,乌拉圭,2,SUB,,,,FBref+ESPN
Rodrigo Aguirre,,乌拉圭,2,"FW,SUB",19,,,FBref+ESPN
Rodrigo Bentancur,,乌拉圭,2,"CM,CM-R",6,,,FBref+ESPN
Rodrigo Zalazar,,乌拉圭,2,SUB,,,,FBref+ESPN
Santiago Bueno,,乌拉圭,2,SUB,,,,FBref+ESPN
Santiago Mele,,乌拉圭,2,SUB,,,,FBref+ESPN
Sebastián Cáceres,,乌拉圭,2,"CB,CD-R",3,,,FBref+ESPN
Sergio Rochet,,乌拉圭,2,SUB,,,,FBref+ESPN
Ahmed Basil,,伊拉克,2,"G,GK",22,,,FBref+ESPN
Ahmed Maknazi,,伊拉克,2,SUB,,,,FBref+ESPN
Ahmed Qasem,,伊拉克,2,"FW,FW,MF",11,,,FBref+ESPN
Ahmed Qasim,,伊拉克,2,RM,,,,FBref+ESPN
Aimar Sher,,伊拉克,2,"MF,SUB",20,,,FBref+ESPN
Akam Hashim,,伊拉克,2,"CB,CD-L",5,,,FBref+ESPN
Ali Al Hamadi,,伊拉克,2,FW,9,,,FBref+ESPN
Ali Al-Hamadi,,伊拉克,2,SUB,,,,FBref+ESPN
Ali Jasim,,伊拉克,2,"LW,SUB",17,,,FBref+ESPN
Ali Yousif,,伊拉克,2,SUB,,,,FBref+ESPN
Amir Al Ammari,,伊拉克,2,"CM,DM",16,,,FBref+ESPN
Amir Al-Ammari,,伊拉克,2,DM,,,,FBref+ESPN
Ayman Hussein,,伊拉克,2,FW,18,,,FBref+ESPN
Aymen Hussein,,伊拉克,2,F,,,,FBref+ESPN
Fahad Talib,,伊拉克,2,SUB,,,,FBref+ESPN
Frans Putros,,伊拉克,2,SUB,,,,FBref+ESPN
Hussein Ali,,伊拉克,2,RB,3,,,FBref+ESPN
Ibrahim Bayesh,,伊拉克,2,"FW,LM,RW",8,,,FBref+ESPN
Jalal Hassan,,伊拉克,2,"GK,SUB",12,,,FBref+ESPN
Kevin Yakob,,伊拉克,2,SUB,,,,FBref+ESPN
Marko Farji,,伊拉克,2,"MF,SUB",21,,,FBref+ESPN
Merchas Doski,,伊拉克,2,LB,23,,,FBref+ESPN
Mohanad Ali,,伊拉克,2,"FW,SUB",10,,,FBref+ESPN
Munaf Younus,,伊拉克,2,SUB,,,,FBref+ESPN
Mustafa Saadoon,,伊拉克,2,"DF,SUB",25,,,FBref+ESPN
Rebin Sulaka,,伊拉克,2,"DF,SUB",2,,,FBref+ESPN
Youssef Amyn,,伊拉克,2,"MF,SUB",7,,,FBref+ESPN
Zaid Ismael,,伊拉克,2,CM-R,,,,FBref+ESPN
Zaid Ismail,,伊拉克,2,CM,24,,,FBref+ESPN
Zaid Tahseen,,伊拉克,2,"CB,CD-R",4,,,FBref+ESPN
Zidane Iqbal,,伊拉克,2,"CM,CM-L,MF",14,,,FBref+ESPN
Ali Alipour,,伊朗,3,"FW,SUB",11,,,FBref+ESPN
Ali Nemati,,伊朗,3,"CB,CD-L",19,,,FBref+ESPN
Alireza Beiranvand,,伊朗,3,"G,GK",1,,,FBref+ESPN
Alireza Jahanbakhsh,,伊朗,2,"FW,MF,SUB",7,,,FBref+ESPN
Amirhossein Hosseinzadeh,,伊朗,3,"FW,SUB",18,,,FBref+ESPN
Amirmohammad Razzaghinia,,伊朗,2,SUB,,,,FBref+ESPN
Aria Yousefi,,伊朗,1,LW,17,,,FBref+ESPN
Arya Yousefi,,伊朗,2,SUB,,,,FBref+ESPN
Danial Iri,,伊朗,2,SUB,,,,FBref+ESPN
Dennis Dargahi,,伊朗,2,SUB,,,,FBref+ESPN
Ehsan Hajsafi,,伊朗,3,"DF,MF,LB",3,,,FBref+ESPN
Hossein Hosseini,,伊朗,2,SUB,,,,FBref+ESPN
Hossein Kanaanizadegan,,伊朗,1,CB,13,,,FBref+ESPN
Hossein Kanani,,伊朗,2,CD-R,,,,FBref+ESPN
Mehdi Ghayedi,,伊朗,3,"FW,SUB",10,,,FBref+ESPN
Mehdi Taremi,,伊朗,3,"F,FW",9,,,FBref+ESPN
Mehdi Torabi,,伊朗,2,"MF,SUB",16,,,FBref+ESPN
Milad Mohammadi,,伊朗,3,"DF,MF,LB,SUB",5,,,FBref+ESPN
Mohammad Ghorbani,,伊朗,2,SUB,,,,FBref+ESPN
Mohammad Mohebbi,,伊朗,2,LM,,,,FBref+ESPN
Mohammad Mohebi,,伊朗,2,"LM,RW",8,,,FBref+ESPN
Payam Niazmand,,伊朗,2,SUB,,,,FBref+ESPN
Ramin Rezaeian,,伊朗,3,"RB,RM",23,,,FBref+ESPN
Roozbeh Cheshmi,,伊朗,2,SUB,,,,FBref+ESPN
Saeid Ezatolahi,,伊朗,3,"CM,CM-L",6,,,FBref+ESPN
Saleh Hardani,,伊朗,2,RB,2,,,FBref+ESPN
Saman Ghoddos,,伊朗,3,"CM,CM-R",14,,,FBref+ESPN
Shahriar Moghanlou,,伊朗,2,"FW,MF",20,,,FBref+ESPN
Shahriyar Moghanloo,,伊朗,2,SUB,,,,FBref+ESPN
Shoja Khalilzadeh,,伊朗,2,CD,,,,FBref+ESPN
Shoja' Khalilzadeh,,伊朗,2,CB,4,,,FBref+ESPN
CJ dos Santos,,佛得角,2,SUB,,,,FBref+ESPN
Dailon Livramento,,佛得角,2,"FW,SUB",19,,,FBref+ESPN
Deroy Duarte,,佛得角,2,"MF,SUB",14,,,FBref+ESPN
Diney,,佛得角,2,CB,3,,,FBref+ESPN
Diney Borges,,佛得角,2,CD-L,,,,FBref+ESPN
Garry Rodrigues,,佛得角,2,"LM,LW",11,,,FBref+ESPN
Gilson Benchimol,,佛得角,2,"F,FW",9,,,FBref+ESPN
Hélio Varela,,佛得角,2,"FW,SUB",26,,,FBref+ESPN
Jamiro Monteiro,,佛得角,2,"AM,CM,CM-L",10,,,FBref+ESPN
Jovane Cabral,,佛得角,2,"FW,SUB",7,,,FBref+ESPN
João Paulo,,佛得角,2,SUB,,,,FBref+ESPN
João Paulo Fernandes,,佛得角,1,"DF,MF",8,,,FBref+ESPN
Kelvin Pires,,佛得角,2,SUB,,,,FBref+ESPN
Kevin Pina,,佛得角,2,DM,6,,,FBref+ESPN
Laros Duarte,,佛得角,2,"CM,MF,SUB",15,,,FBref+ESPN
Logan Costa,,佛得角,2,SUB,,,,FBref+ESPN
Márcio Rosa,,佛得角,2,SUB,,,,FBref+ESPN
Nuno da Costa,,佛得角,2,"FW,MF,SUB",21,,,FBref+ESPN
Pico,,佛得角,2,CB,4,,,FBref+ESPN
Pico Lopes,,佛得角,2,CD-R,,,,FBref+ESPN
Ryan Mendes,,佛得角,2,"FW,RM,RW",20,,,FBref+ESPN
Sidny Lopes Cabral,,佛得角,2,LB,13,,,FBref+ESPN
Steven Moreira,,佛得角,2,RB,22,,,FBref+ESPN
Stopira,,佛得角,2,SUB,,,,FBref+ESPN
Telmo Arcanjo,,佛得角,2,"AM,CM-R,MF",18,,,FBref+ESPN
Vozinha,,佛得角,2,"G,GK",1,,,FBref+ESPN
Wagner Pina,,佛得角,2,SUB,,,,FBref+ESPN
Willy Semedo,,佛得角,2,"FW,MF,SUB",17,,,FBref+ESPN
Yannick,,佛得角,1,MF,16,,,FBref+ESPN
Yannick Semedo,,佛得角,2,SUB,,,,FBref+ESPN
