国家,组别,位置,球员,俱乐部,联赛,身价_万欧,国家队进球,国家队助攻,世界杯进球,世界杯助攻,生涯总进球,生涯总助攻,本赛季俱乐部_进球,本赛季俱乐部_助攻,主要荣誉,号码,数据来源,年龄
加拿大,B组,门将,达尼·圣克莱尔,迈阿密国际,美职联,350,0,0,0,0,5,0,0,0,,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,18
加拿大,B组,门将,马克西姆·克雷波,奥兰多城,美职联,200,0,0,0,0,50,10,0,0,支持者盾,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,32
加拿大,B组,门将,欧文·古德曼,巴恩斯利,英甲,55,0,0,0,0,30,6,0,0,,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,22
加拿大,B组,后卫,阿里斯特尔·约翰斯顿,凯尔特人,苏超,800,3,5,0,0,22,7,0,1,2022世界杯│2024美洲杯,2,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,27
加拿大,B组,后卫,德雷克·科尼利厄斯,格拉斯哥流浪者,苏超,250,0,0,0,0,30,6,1,1,,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
加拿大,B组,后卫,里奇·拉尔贾,多伦多FC,美职联,100,0,0,0,0,50,10,0,1,支持者盾,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,31
加拿大,B组,后卫,尼科·西古尔,哈伊杜克,克甲,400,0,0,0,0,30,6,1,0,,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,22
加拿大,B组,后卫,乔尔·沃特曼,芝加哥火焰,美职联,250,0,0,0,0,50,10,1,0,支持者盾,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,30
加拿大,B组,后卫,吕克·德富热罗勒,登德,比甲,100,0,0,0,0,45,9,0,0,,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,20
加拿大,B组,后卫,莫伊斯·波姆比托,尼斯,法甲,800,0,0,0,0,65,13,0,1,法甲冠军│法国杯,6,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
加拿大,B组,后卫,阿方索·戴维斯,拜仁慕尼黑,德甲,4000,15,20,0,0,50,60,1,5,德甲冠军 2020/21/22/23/25/26 世俱杯 2020 欧冠 2020 中北美金杯 2021,16,FBref全赛事 Bayern,26
加拿大,B组,后卫,阿尔菲·琼斯,米德尔斯堡,英冠,600,0,0,0,0,40,8,0,0,英冠冠军│升级附加赛,15,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,71
加拿大,B组,中场,阿里·艾哈迈德,诺维奇,英冠,500,0,0,0,0,60,12,2,1,英冠冠军│升级附加赛,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,25
加拿大,B组,中场,塔琼·布坎南,比利亚雷亚尔,西甲,1200,4,5,0,0,21,2,4,2,2022世界杯│比甲冠军(布鲁日)│加拿大国脚,19,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,27
加拿大,B组,中场,马修·乔伊涅雷,洛杉矶FC,美职联,80,0,0,0,0,75,15,1,1,支持者盾,20,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,27
