match_id,date,team,team_id,opponent,home_away,player_id,player_name,shirt_no,position,age,is_first_eleven,is_man_of_match,final_rating,max_minute,goals,assists,total_shots,yellow_cards,red_cards,venue,referee,score,passes_key,shots_on_target,tackles_total,tackle_successful,dribbles_attempted,aerials_won,penalty_goals,penalty_missed
,2026-06-11T00:00:00,Mexico,972,South Africa,home,527319,Raúl Rangel,1,GK,26,True,False,6.77,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,0,0,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,447634,Israel Reyes,15,DR,26,True,False,7.03,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,2,0,0,0,0,1,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,425115,Johan Vásquez,5,DC,27,True,False,7.02,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,1,1,0,3,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,447631,César Montes,3,DC,29,True,False,5.91,96,0,0,0,0,1,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,0,2,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,252248,Jesús Gallardo,23,DL,31,True,False,7,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,0,3,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,447638,Érik Lira,6,DMC,26,True,False,7.4,80,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,1,0,2,2,0,1,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,447636,Roberto Alvarado,25,MR,27,True,False,8.16,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,2,0,6,5,2,0,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,452407,Álvaro Fidalgo,8,MC,29,True,False,6.62,70,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,1,0,0,0,3,0,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,396565,Brian Gutiérrez,26,MC,23,True,False,6.32,70,0,0,0,1,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,3,0,0,0,2,0,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,509557,Julián Quiñones,16,ML,29,True,True,8.72,83,1,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,2,2,0,0,7,0,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,108186,Raúl Jiménez,9,FW,35,True,False,8,80,1,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,2,2,1,1,2,5,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,447639,Alexis Vega,10,Sub,28,False,False,5.96,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,0,0,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,447642,Luis Chávez,24,Sub,30,False,False,6.39,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,2,2,0,0,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,322696,Edson Álvarez,4,Sub,28,False,False,6.24,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,1,1,0,0,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,550680,Gilberto Mora,19,Sub,17,False,False,6.36,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,2,0,0,0
,2026-06-11T00:00:00,Mexico,972,South Africa,home,579163,Armando González,14,Sub,23,False,False,5.95,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,0,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,99002,Ronwen Williams,1,GK,34,True,False,6.58,100,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,0,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,457250,Khuliso Mudau,20,DR,31,True,False,6.33,101,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,5,4,2,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,457254,Nkosinathi Sibisi,19,DC,30,True,False,5.64,101,0,0,0,1,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,0,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,563880,Mbekezeli Mbokazi,14,DC,20,True,False,6.45,99,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,1,1,2,2,0,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,504648,Ime Okon,21,DC,22,True,False,6.18,102,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,2,2,1,1,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,452622,Aubrey Modiba,6,DL,30,True,False,6,80,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,1,4,3,3,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,386978,Yaya Sithole,13,MC,27,True,False,4.23,54,0,0,0,0,1,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,2,0,0,1,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,456637,Jayden Adams,23,MC,25,True,False,6.12,64,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,1,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,457247,Teboho Mokoena,4,MC,29,True,False,5.73,102,0,0,0,1,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,1,0,2,0,2,2,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,371447,Lyle Foster,9,FW,25,True,False,5.78,56,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,1,0,1,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,498795,Iqraam Rayners,15,FW,30,True,False,5.73,75,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,1,0,0,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,110032,Themba Zwane,11,Sub,36,False,False,4.83,88,0,0,0,0,1,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,1,0,0,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,457593,Evidence Makgopa,17,Sub,26,False,False,6.25,100,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,0,0,0,3,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,509374,Oswin Appollis,7,Sub,24,False,False,6.1,101,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,1,1,0,0,0,0
,2026-06-11T00:00:00,South Africa,485,Mexico,away,551643,Thalente Mbatha,5,Sub,26,False,False,6.09,99,0,0,0,0,0,Mexico City Stadium,Wilton Pereira Sampaio,2 : 0,0,0,2,2,1,0,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,527319,Raúl Rangel,1,GK,26,True,False,7.34,101,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,0,0,0,0,0,1,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,447643,Jorge Sánchez,2,DR,28,True,False,6.46,101,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,0,0,2,0,1,0,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,425115,Johan Vásquez,5,DC,27,True,False,6.79,101,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,0,0,0,0,0,1,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,322696,Edson Álvarez,4,DC,28,True,False,7.47,101,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,0,0,3,2,1,2,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,252248,Jesús Gallardo,23,DL,31,True,False,7.16,101,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,0,0,4,2,2,3,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,447635,Luis Romo,7,MC,31,True,True,7.81,75,1,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,1,1,4,4,2,2,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,447638,Érik Lira,6,MC,26,True,False,6.54,101,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,0,0,5,2,1,0,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,396565,Brian Gutiérrez,26,MC,23,True,False,6.68,75,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,1,0,1,1,0,1,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,447636,Roberto Alvarado,25,FWR,27,True,False,6.97,84,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,1,0,1,1,1,0,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,108186,Raúl Jiménez,9,FW,35,True,False,6.24,84,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,0,1,0,0,0,2,0,0
,2026-06-19T00:00:00,Mexico,972,South Korea,home,509557,Julián Quiñones,16,FWL,29,True,False,6.8,88,0,0,0,0,0,Estadio Guadalajara,Gustavo Tejera,1 : 0,2,1,1,0,1,2,0,0
